name,url
The Pink Door,https://www.yelp.com/biz/the-pink-door-seattle-4
Biang Biang Noodles,https://www.yelp.com/biz/biang-biang-noodles-seattle-2
Nue,https://www.yelp.com/biz/nue-seattle
Toulouse Petit Kitchen & Lounge,https://www.yelp.com/biz/toulouse-petit-kitchen-and-lounge-seattle
Tilikum Place Cafe,https://www.yelp.com/biz/tilikum-place-cafe-seattle-3
Kedai Makan,https://www.yelp.com/biz/kedai-makan-seattle-4
Elliott's Oyster House,https://www.yelp.com/biz/elliotts-oyster-house-seattle-2
Biscuit Bitch,https://www.yelp.com/biz/biscuit-bitch-seattle
Shaker + Spear,https://www.yelp.com/biz/shaker-spear-seattle-2
Ishoni Yakiniku,https://www.yelp.com/biz/ishoni-yakiniku-seattle
Asadero Ballard,https://www.yelp.com/biz/asadero-ballard-seattle
Skalka,https://www.yelp.com/biz/skalka-seattle-4
Radiator Whiskey,https://www.yelp.com/biz/radiator-whiskey-seattle
2120,https://www.yelp.com/biz/2120-seattle
Altura,https://www.yelp.com/biz/altura-seattle
Six Seven Restaurant,https://www.yelp.com/biz/six-seven-restaurant-seattle-3
Lola,https://www.yelp.com/biz/lola-seattle
Di Fiora,https://www.yelp.com/biz/di-fiora-seattle
Dough Zone - Seattle Downtown Pine St.,https://www.yelp.com/biz/dough-zone-seattle-downtown-pine-st-seattle-2
Fogon Cocina Mexicana,https://www.yelp.com/biz/fog%C3%B3n-cocina-mexicana-seattle-2
Duke's Seafood,https://www.yelp.com/biz/dukes-seafood-seattle-8
COMMUNION Restaurant and Bar,https://www.yelp.com/biz/communion-restaurant-and-bar-seattle
Skillet Capitol Hill,https://www.yelp.com/biz/skillet-capitol-hill-seattle-2
Le Coin,https://www.yelp.com/biz/le-coin-seattle
re:public,https://www.yelp.com/biz/re-public-seattle-2
Purple Cafe and Wine Bar,https://www.yelp.com/biz/purple-caf%C3%A9-and-wine-bar-seattle-3
List,https://www.yelp.com/biz/list-seattle
Meet the Moon,https://www.yelp.com/biz/meet-the-moon-seattle
The Walrus and the Carpenter,https://www.yelp.com/biz/the-walrus-and-the-carpenter-seattle
Paseo,https://www.yelp.com/biz/paseo-seattle-11
Damn the Weather,https://www.yelp.com/biz/damn-the-weather-seattle
Musang Seattle,https://www.yelp.com/biz/musang-seattle-seattle-2
Taylor Shellfish Oyster Bar,https://www.yelp.com/biz/taylor-shellfish-oyster-bar-seattle-2
Katsu-ya Seattle,https://www.yelp.com/biz/katsu-ya-seattle-seattle
LOCAL Public Eatery,https://www.yelp.com/biz/local-public-eatery-seattle-4
Cafe Turko,https://www.yelp.com/biz/cafe-turko-seattle-4
Palisade,https://www.yelp.com/biz/palisade-seattle
Cascina Spinasse,https://www.yelp.com/biz/cascina-spinasse-seattle
Olmstead,https://www.yelp.com/biz/olmstead-seattle
D' La Santa,https://www.yelp.com/biz/d-la-santa-seattle
Paju,https://www.yelp.com/biz/paju-seattle-2
Serious Pie Downtown,https://www.yelp.com/biz/serious-pie-downtown-seattle-2
Tanoor,https://www.yelp.com/biz/tanoor-seattle-3
Dead Line,https://www.yelp.com/biz/dead-line-seattle
Stone Korean Restaurant,https://www.yelp.com/biz/stone-korean-restaurant-seattle-2
Rondo,https://www.yelp.com/biz/rondo-seattle-2
Ramen Danbo,https://www.yelp.com/biz/ramen-danbo-seattle-2
Son of A Butcher,https://www.yelp.com/biz/son-of-a-butcher-seattle-3
Taurus Ox,https://www.yelp.com/biz/taurus-ox-seattle
Daniel's Broiler,https://www.yelp.com/biz/daniels-broiler-seattle-7
A+ Hong Kong Kitchen,https://www.yelp.com/biz/a-hong-kong-kitchen-seattle
Sawyer,https://www.yelp.com/biz/sawyer-seattle-3
Piroshky Piroshky,https://www.yelp.com/biz/piroshky-piroshky-seattle
