name;url;username;rating;date_review;number of reviews;state_abreviation;text_review
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=0;Kimi C.;1;12/30/2021;5;WA;"A steel wire was found in our noodles......I cant imagine what gonna happen if anyone swallows it by accident. The waitress was just acting like ""whatever"" after we told her about it."
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=0;Felix F.;1;6/13/2021;13;WA;Both my wife and I had diarrhea after dining at the restaurant.
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=0;Yu J.;1;06-08-2021;5;WA;Sit down for half an hour, there is no water, food, ask to take a bowl, missing one bowl, twenty minutes are not on, even the bowl is not on a call to others how to eat?
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=0;Kady C.;2;5/21/2017;16;OR;We came here with high expectations, but were disappointed. We got the curry fish balls, xo sauce rice noodle, cold lemon tea, ice coffee tea, and four other desserts. The curry fish ball doesn't taste like expected, taste noting like something you would find in Hong Kong, the XO sauce noodle was really good actually, would definitely order again. The drink was blend and bitter, no sweetness at all. All the desserts were lacking in flavor. Felt like something you get out of the package, especially the sesame and tofu mix. Service was also another disappointment.
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=0;Eden G.;3;02-01-2018;11;WA;I was there the first time last night with my friend and ordered the chicken rice porridge, fish Malay soup, red bean w tofu & purple sticky rice w coconut milk for desserts. The entire meal was not extraordinary. Except for the rice porridge, the price is around which is fair for the large amount of food. The workers look tired but attentive.
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=0;Kathy T.;3;5/28/2017;200;CA;This place sucks, when u ask for hot tea, there is no tea in the hot water, when u ask for ice water there is no ice in the water.
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=0;Dennis H.;4;7/28/2022;13;WA;Delicious Hong Kong style eatery. They have noodle soup and dumplings. The food was very tasty, and different as many of the flavors are not typical in Western foods. I would come back for sure. Only downside here is that it is so popular there is always a line out the door. Staff is friendly and efficient as well.
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=0;Crosby P.;4;6/19/2021;2;WA;After a night out and you are craving for some legit Cantonese food, this is the spot. This place has been around for ages, Brings back good old memories of my yester years. Hope this place sticks around.
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=0;Kaily M.;4;8/25/2019;9;WA;i decided to try this place out based on the very good Yelp reviews and were not disappointed. We give this place 4 stars for food and 5 stars for value. i like it
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=0;Demarea C.;4;11-11-2018;5;WA;Great drink but the place is very small. Doesn't stop me from getting this amazing drink though!
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=10;Alina O.;4;1/20/2018;4;WA;Awesome little spot if you don't mind waiting for a seat. But it is worth the wait. Been here twice and cant wait for my next visit. The flavors are unique but delicious. I'm not an expert on food from Hong Kong, but what I do know is that this place is fantastically Dee Lish!!!
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=10;Lisa W.;4;12/19/2016;19;WA;Very small put great food. SoupIs so hot it takes awhile to eat it. (Temperature) portions are huge. Very popular place so you may have to wait awhile and there's not much room to wait.
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=10;Christina G.;5;6/26/2024;83;TX;"A+ Hong Kong Kitchen delivers a satisfying dining experience with a variety of flavorful dishes. The Stir Fried Rice Roll With XO Sauce stood out with its great savory taste from the XO sauce, perfectly cooked exterior with a slight crust, and a soft inside--definitely a dish worth repeating. The Baked Portuguese Chicken Rice featured a nice cheesy crust on top, tasting like Thai curry with some vegetables mixed in. The Salted Pork & Chinese Sausage Rice Stone Pot, complemented by a side of Chinese greens, was a solid choice. Pro-tip: let the rice sit for a bit to get a nice crust on the bottom. The pork was tender and flavorful, while the sausage was standard but paired well with the crispy rice. The side of greens was good, nothing special.For dessert, the Mango Sago Pomelo with Purple Rice was tasty but I wish it had more purple rice and sago, though the mango sago itself was nice. The Grass Jelly with Mango was good despite the mango not being fully ripe and the grass jelly coming from a can; the condensed milk paired nicely with the ingredients, though more of it would have been better. The Mango Smoothie with Coconut Milk and Sago was sweet and tasty, with a strong mango flavor that paired well with the coconut milk and sago. I would come back just for this drink.Service was quick and attentive, with hot tea served at no charge and water available upon request. It's small inside and there's not a lot of seating but it's cozy that way. Overall, A+ Hong Kong Kitchen offers a delightful array of dishes that make it worth a visit."
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=10;Frank Stein S.;5;06-07-2024;16;CA;"I hope this message finds you well! I'm Manish, reaching out to see if you're interested in exploring web development services that could elevate your business's online presence. Whether it's upgrading your current website or building a new one from scratch, our tailored solutions are designed to enhance user engagement and drive growth. Let's make your website a powerful tool to boost your business.If this sounds like something that could benefit your business, I'd love to discuss how we can help."
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=10;Gil ..;5;12-12-2023;2;CA;Good food, great service! Usually so much food, have to take a lot home! Give it a try!
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=10;Olivia J.;5;09-05-2023;8;WA;I have been to many Chinese restaurants, but this one offers me one of the cheapest and most delicious Chinese cuisines ever. Sometimes, the restaurant fills up very quickly at weekends or in the late afternoon of weekdays. The staff is friendly and attentive, by sometimes they forget my orders. However, I still recommend this restaurant to every oneFood: 5/5 | Service: 5/5 | Atmosphere: 5/5
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=10;Maryelin M.;5;3/15/2023;21;WA;My friends and I stumbled upon this restaurant while exploring the city, and we are so glad we did. The food was amazing, with fresh ingredients and creative flavors. The atmosphere was cozy and inviting, and the staff was friendly and welcoming. I highly recommend this restaurant to anyone looking for a hidden gem in the city.
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=10;Guojin L.;5;06-07-2022;1;WA;The food is good. Really delicious. Definitely will try again. I would like to recommend this one.
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=10;Kuoyu L.;5;4/23/2022;39;WA;Went to the new location which is cleaner and more spacious. The menu is the same as the old location and as excellent as ever.
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=10;Keith R.;5;08-09-2021;18;WA;Fantastic pork fried rice, soooo good.
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=30;Peter B.;5;8/20/2017;11;WA;This place is A+, Cheesy but true! Small place but great good, I usually get take-out.
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=30;Aaron W.;5;3/30/2017;28;WA;Long line, but worth the wait. Pretty much the whole menu is great.
A+ Hong Kong Kitchen;https://www.yelp.com/not_recommended_reviews/a-hong-kong-kitchen-seattle?not_recommended_start=30;Daiwei H.;5;7/17/2016;2;WA;I like this place so much! Worth more than five stars! Definitely we will come back again!
